municipio_norm,municipio_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
TUPANCIRETA,Tupanciretã,Passo Fundo,Cruz Alta,Centro Ocidental Rio-grandense
TUPANDI,Tupandi,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
TUPARENDI,Tuparendi,Ijuí,Santa Rosa,Noroeste Rio-grandense
TURUCU,Turuçu,Pelotas,Pelotas,Sudeste Rio-grandense
UBIRETAMA,Ubiretama,Ijuí,Cerro Largo,Noroeste Rio-grandense
UNIAO DA SERRA,União da Serra,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
UNISTALDA,Unistalda,Santa Maria,Santiago,Centro Ocidental Rio-grandense
URUGUAIANA,Uruguaiana,Uruguaiana,Uruguaiana,Sudoeste Rio-grandense
VACARIA,Vacaria,Caxias do Sul,Vacaria,Nordeste Rio-grandense
VALE VERDE,Vale Verde,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Metropolitana de Porto Alegre
VALE DO SOL,Vale do Sol,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
VALE REAL,Vale Real,Caxias do Sul,Caxias do Sul,Metropolitana de Porto Alegre
VANINI,Vanini,Passo Fundo,Marau,Noroeste Rio-grandense
VENANCIO AIRES,Venâncio Aires,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
VERA CRUZ,Vera Cruz,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
VERANOPOLIS,Veranópolis,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
VESPASIANO CORREA,Vespasiano Corrêa,Santa Cruz do Sul - Lajeado,Encantado,Centro Oriental Rio-grandense
VIADUTOS,Viadutos,Passo Fundo,Erechim,Noroeste Rio-grandense
VIAMAO,Viamão,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
VICENTE DUTRA,Vicente Dutra,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
VICTOR GRAEFF,Victor Graeff,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
VILA FLORES,Vila Flores,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
VILA LANGARO,Vila Lângaro,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
VILA MARIA,Vila Maria,Passo Fundo,Marau,Noroeste Rio-grandense
VILA NOVA DO SUL,Vila Nova do Sul,Santa Maria,São Gabriel - Caçapava do Sul,Centro Ocidental Rio-grandense
VISTA ALEGRE,Vista Alegre,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
VISTA ALEGRE DO PRATA,Vista Alegre do Prata,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
VISTA GAUCHA,Vista Gaúcha,Ijuí,Três Passos,Noroeste Rio-grandense
VITORIA DAS MISSOES,Vitória das Missões,Ijuí,Santo Ângelo,Noroeste Rio-grandense
WESTFALIA,Westfália,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
XANGRI LA,Xangri-lá,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
